block,spec,n,upgrade_n,upgrade_sum_R,delta_R,upgrade_mean_R,right3_up,median_feedback_n
2024Q4,MEAN_FB180,140,52,15.4178215378134,30.8356430756268,0.29649656803487306,2,26.0
2024Q4,MEAN_FB360,140,58,19.47314133915238,38.94628267830476,0.33574381619228244,2,53.0
2024Q4,EV_FB180,140,54,5.489322683107591,10.978645366215183,0.1016541237612517,1,29.0
2024Q4,EV_FB360,140,55,3.575614336841249,7.151228673682498,0.06501116976074998,1,49.0
2025Q2,MEAN_FB180,131,42,6.735231130081933,13.470462260163867,0.16036264595433175,2,22.0
2025Q2,MEAN_FB360,131,50,7.321510142063896,14.643020284127791,0.14643020284127792,2,45.0
2025Q2,EV_FB180,131,52,3.3454577806739447,6.6909155613478895,0.06433572655142202,2,29.0
2025Q2,EV_FB360,131,64,3.448282678134281,6.896565356268562,0.05387941684584814,2,60.0
2025Q4,MEAN_FB180,121,35,18.43224689997718,36.86449379995436,0.5266356257136338,5,25.0
2025Q4,MEAN_FB360,121,54,26.104010815694334,52.20802163138867,0.4834076076980432,7,62.0
2025Q4,EV_FB180,121,56,26.8667204241676,53.7334408483352,0.4797628647172786,6,39.0
2025Q4,EV_FB360,121,80,32.54014974975901,65.08029949951802,0.40675187187198764,8,81.0
2026Q1,MEAN_FB180,103,55,33.64747576426602,67.29495152853204,0.6117722866230185,5,25.0
2026Q1,MEAN_FB360,103,55,33.64747576426602,67.29495152853204,0.6117722866230185,5,51.0
2026Q1,EV_FB180,103,66,34.868392425767205,69.73678485153441,0.528308976147988,6,32.0
2026Q1,EV_FB360,103,66,34.868392425767205,69.73678485153441,0.528308976147988,6,66.0
2026Q2,MEAN_FB180,103,30,-7.057527713543591,-14.115055427087182,-0.23525092378478635,0,27.0
2026Q2,MEAN_FB360,103,35,-8.465984786168672,-16.931969572337344,-0.2418852796048192,0,51.0
2026Q2,EV_FB180,103,7,0.23578226497067112,0.47156452994134224,0.03368318071009587,0,29.0
2026Q2,EV_FB360,103,32,-7.631805554238836,-15.263611108477672,-0.23849392356996363,0,60.0
