market,event_id,h1_open,decision_time,side,ktr,ktr_regime,session,h1_close,action,sl_mult,tp_mult,outcome,n_legs,campaign_R,R_per_committed,entry_time,exit_time,sl,tp
BTCUSD#,BTCUSD-01,2026-02-15 06:00:00,2026-02-15 07:00:00,UPPER,302.90000000000873,NORMAL,ASIA,70172.5,SKIP,,,SKIP,0,0.0,,,,,
BTCUSD#,BTCUSD-02,2026-04-15 18:00:00,2026-04-15 19:00:00,LOWER,622.7999999999884,NORMAL,US,73823.6,LONG,2.5,2.0,TP,1,0.7757080402965342,0.7757080402965342,2026-04-15 19:00:00,2026-04-15 22:36:00,72266.60000000003,75069.19999999998
BTCUSD#,BTCUSD-03,2026-04-25 01:00:00,2026-04-25 02:00:00,LOWER,561.9000000000087,NORMAL,US,77322.0,LONG,2.5,1.5,TP,1,0.5731233595800449,0.5731233595800449,2026-04-25 02:00:00,2026-04-26 08:28:00,75917.24999999997,78164.85
BTCUSD#,BTCUSD-04,2026-05-31 17:00:00,2026-05-31 18:00:00,LOWER,219.10000000000582,LOW,US,73594.5,LONG,3.5,2.0,TP,2,1.3598724769867365,0.6799362384933683,2026-05-31 18:00:00,2026-06-01 02:02:00,72827.64999999998,74032.70000000001
BTCUSD#,BTCUSD-05,2026-06-14 00:00:00,2026-06-14 01:00:00,UPPER,207.90000000000146,LOW,US,64456.7,LONG,3.0,3.5,SL,6,-6.0,-1.0,2026-06-14 01:00:00,2026-06-14 20:37:00,63832.99999999999,65184.350000000006
BTCUSD#,BTCUSD-06,2026-06-22 04:00:00,2026-06-22 05:00:00,UPPER,528.6999999999971,NORMAL,ASIA,64592.2,LONG,2.5,3.0,SL,5,-5.0,-1.0,2026-06-22 05:00:00,2026-06-23 09:06:00,63270.450000000004,66178.29999999999
BTCUSD#,BTCUSD-07,2026-07-22 08:00:00,2026-07-22 09:00:00,LOWER,350.0,NORMAL,ASIA,65968.7,LONG,2.5,2.5,SL,5,-5.0,-1.0,2026-07-22 09:00:00,2026-07-23 15:42:00,65093.7,66843.7
BTCUSD#,BTCUSD-08,2026-07-27 01:00:00,2026-07-27 02:00:00,UPPER,163.5,LOW,US,65398.7,LONG,3.5,3.0,SL,7,-7.0,-1.0,2026-07-27 02:00:00,2026-07-27 17:30:00,64826.45,65889.2
GOLD#,GOLD-01,2026-04-17 15:00:00,2026-04-17 16:00:00,UPPER,16.039999999999964,NORMAL,EUROPE,4846.26,LONG,2.0,3.0,SL,4,-4.0,-1.0,2026-04-17 16:00:00,2026-04-20 01:00:00,4814.18,4894.38
GOLD#,GOLD-02,2026-04-24 05:00:00,2026-04-24 06:00:00,LOWER,13.909999999999854,LOW,ASIA,4676.8,SHORT,3.0,3.0,SL,6,-6.0,-1.0,2026-04-24 06:00:00,2026-04-24 17:05:00,4718.53,4635.070000000001
GOLD#,GOLD-03,2026-05-15 12:00:00,2026-05-15 13:00:00,LOWER,22.649999999999636,NORMAL,EUROPE,4545.74,SKIP,,,SKIP,0,0.0,,,,,
GOLD#,GOLD-04,2026-05-27 13:00:00,2026-05-27 14:00:00,LOWER,13.430000000000291,LOW,EUROPE,4445.7,SHORT,3.5,3.0,TP,4,5.876975670396019,1.4692439175990049,2026-05-27 14:00:00,2026-05-27 16:28:00,4492.705000000001,4405.409999999999
GOLD#,GOLD-05,2026-06-25 15:00:00,2026-06-25 16:00:00,UPPER,18.389999999999873,NORMAL,EUROPE,4012.29,SHORT,2.5,2.0,SL,5,-5.0,-1.0,2026-06-25 16:00:00,2026-06-26 15:58:00,4058.2649999999994,3975.51
GOLD#,GOLD-06,2026-07-29 08:00:00,2026-07-29 09:00:00,UPPER,11.340000000000146,NORMAL,ASIA,4032.99,SKIP,,,SKIP,0,0.0,,,,,
GOLD#,GOLD-07,2026-07-30 16:00:00,2026-07-30 17:00:00,UPPER,47.710000000000036,HIGH,US,4112.26,SKIP,,,SKIP,0,0.0,,,,,
GOLD#,GOLD-08,2026-08-18 23:00:00,2026-08-19 00:00:00,LOWER,30.19000000000051,NORMAL,US,4334.15,SHORT,2.5,3.0,NO_ENTRY_GAP,0,0.0,,,,,
USDJPY#,USDJPY-01,2026-02-04 11:00:00,2026-02-04 12:00:00,UPPER,0.10200000000000387,LOW,EUROPE,156.64,LONG,3.5,3.5,TP,6,16.23495934959155,2.705826558265258,2026-02-04 12:00:00,2026-02-05 08:02:00,156.28299999999996,156.997
USDJPY#,USDJPY-02,2026-03-20 11:00:00,2026-03-20 12:00:00,UPPER,0.2330000000000041,NORMAL,EUROPE,158.83,SKIP,,,SKIP,0,0.0,,,,,
USDJPY#,USDJPY-03,2026-04-07 22:00:00,2026-04-07 23:00:00,LOWER,0.16800000000000637,LOW,US,159.577,LONG,3.5,2.0,SL,7,-7.0,-1.0,2026-04-07 23:00:00,2026-04-08 01:56:00,158.98899999999998,159.913
USDJPY#,USDJPY-04,2026-05-01 09:00:00,2026-05-01 10:00:00,LOWER,0.37999999999999545,HIGH,ASIA,155.961,SHORT,1.5,1.5,SL,3,-3.0,-1.0,2026-05-01 10:00:00,2026-05-01 10:08:00,156.531,155.39100000000002
USDJPY#,USDJPY-05,2026-05-18 06:00:00,2026-05-18 07:00:00,UPPER,0.117999999999995,NORMAL,ASIA,159.031,LONG,2.5,3.0,SL,5,-5.0,-1.0,2026-05-18 07:00:00,2026-05-18 14:41:00,158.73600000000002,159.385
USDJPY#,USDJPY-06,2026-08-13 15:00:00,2026-08-13 16:00:00,LOWER,0.09200000000001296,LOW,EUROPE,159.169,LONG,3.5,2.0,TP,4,4.3028528528531655,1.0757132132132914,2026-08-13 16:00:00,2026-08-13 18:29:00,158.84699999999998,159.35300000000004
USDJPY#,USDJPY-07,2026-08-18 07:00:00,2026-08-18 08:00:00,UPPER,0.10699999999999932,NORMAL,ASIA,159.689,LONG,2.0,2.5,SL,4,-4.0,-1.0,2026-08-18 08:00:00,2026-08-18 17:06:00,159.475,159.9565
USDJPY#,USDJPY-08,2026-08-19 00:00:00,2026-08-19 01:00:00,LOWER,0.15799999999998704,NORMAL,US,159.578,LONG,2.5,2.0,SL,5,-5.0,-1.0,2026-08-19 01:00:00,2026-08-19 09:20:00,159.18300000000005,159.89399999999998
