scope,candidate,n_or_units,wins,losses,pnl,pf,dd,2025_pnl,2026_pnl,june_2025_pnl,oct_2025_pnl,notes
authority_reference,BOUNDED_M3,2313,,,14827.57,1.553395,2638.04,,,,,"GitHub bounded-m3 authority reference; 1,159 selected entries"
monthly_diagnostic,2025-06 selected cohort,,,,-545.13,,,,,-545.13,,Gross profit +543.29; gross loss -1088.42
monthly_diagnostic,2025-10 selected cohort,,,,2673.65,,,,,,2673.65,Gross profit +3553.17; gross loss -879.52
reverse_diagnostic,2025-06 exact NHA-to-opposite-k1,31,6,25,-211.94,0.612,,,,-211.94,,19.4% win rate; exact same-clock reversal cases
reverse_diagnostic,2025-10 exact NHA-to-opposite-k1,14,6,8,347.23,1.805,,,,,347.23,42.9% win rate; exact same-clock reversal cases
representation,modified FAST w4/a0.25,2277,,,15065.51,1.57,,,,-508.53,2673.65,Consumed-data representation scan; not a promoted HA formula
hard_gate,EMA8/21 direction gate,,,,12894,2.02,,,,-181.95,2302.98,Improves chop quality but deletes too much trend right tail
hard_gate,ADX28 strength gate,,,,12081,1.92,,,,-19.83,1375.73,Strong chop detector but unacceptable as universal entry gate
ltf_only,M15/M30/H1 body-flow 2-of-3,,,,15025,,,,,-437.95,2444,Approximate session-recorded result; local directional delivery alone still accepts alternating bursts
conditional_neutral,ADX28 weak + 4-H4 path-efficiency weak; admit on DI14 OR EMA8/21,1906,,,17900.26,1.853,,8211.63,9688.63,-316.49,2685.72,"Best consumed-data scan; selection-biased research upper bound, not authority"
conditional_neutral,ADX28 weak + 12-H4 path-efficiency weak; admit on DI14 OR EMA8/21,2029,,,17574.46,1.786,,7961.81,9612.65,-224.49,2828.57,More conservative regime representation; retained about 96.6% of L>=6 positive gross profit
conditional_neutral,Chop-risk state; require DI28 AND EMA8/21 agreement,,,,17378.25,1.850,,,,-100.09,2882.87,Stronger confirmation reduces June loss further but removes more opportunity
